sentence_number	batch_bertscore	prompt_bertscore	temp_bertscore	bertscore_f1	batch_chrf	prompt_chrf	temp_chrf	CHRF	batch_comet	prompt_comet	temp_comet	COMET
0	1.0	prompt4	0.6	0.9315811991691588	1.0	prompt4	0.6	82.885722188865	1.0	prompt4	0.6	0.938359797000885
1	2.0	prompt2	0.6	0.9846275448799132	2.0	prompt2	0.6	93.78232102883442	2.0	prompt2	0.6	0.930856227874756
2	5.0	prompt2	0.6	0.9155505299568176	5.0	prompt2	0.6	84.48020512486593	5.0	prompt2	0.6	0.9331239461898804
3	2.0	prompt0	0.45	0.8330148458480835	2.0	prompt1	0.3	60.56417765218944	2.0	prompt0	0.45	0.9155344367027284
4	4.0	prompt4	0.75	0.9174140095710754	4.0	prompt4	0.75	78.6665052588982	4.0	prompt4	0.75	0.8949080109596252
5	4.0	prompt4	0.6	0.8211766481399536	4.0	prompt4	0.6	44.94904955756059	5.0	prompt4	0.6	0.4744245111942291
6	2.0	prompt4	0.15	0.93812757730484	2.0	prompt4	0.15	86.19744010726804	2.0	prompt4	0.15	0.9353191256523132
7	2.0	prompt1	0.3	0.7971858382225037	2.0	prompt1	0.3	63.072241569192336	2.0	prompt2	0.75	0.8945414423942566
8	2.0	prompt1	0.3	0.8230860829353333	2.0	prompt1	0.3	64.67395077413666	2.0	prompt1	0.3	0.9529666900634766
9	2.0	prompt1	0.3	0.8403743505477905	2.0	prompt1	0.3	57.94010800368915	2.0	prompt1	0.3	0.9305104613304138
10	2.0	prompt4	0.15	0.8849140405654907	2.0	prompt4	0.15	69.78557641800109	2.0	prompt4	0.15	0.9127894043922424
11	2.0	prompt1	0.3	1.0	2.0	prompt1	0.3	100.0	2.0	prompt1	0.3	0.9943715929985046
12	2.0	prompt2	0.75	0.7932589650154114	2.0	prompt4	0.6	62.72587188140406	2.0	prompt4	0.6	0.864981472492218
13	2.0	prompt4	0.75	0.921524465084076	2.0	prompt4	0.75	89.0421771785631	2.0	prompt4	0.75	0.8666706681251526
14	2.0	prompt1	0.3	0.8814712166786194	2.0	prompt1	0.3	72.2478332738714	1.0	prompt3	0.15	0.9255456924438477
15	2.0	prompt4	0.75	0.9469098448753356	2.0	prompt4	0.75	94.12154326800268	2.0	prompt4	0.75	0.9520410895347596
16	2.0	prompt4	0.75	0.9573475122451782	2.0	prompt4	0.75	94.6860178661376	2.0	prompt4	0.75	0.9598495364189148
17	2.0	prompt1	0.3	1.0	2.0	prompt1	0.3	100.0	2.0	prompt1	0.3	0.9820597171783448
18	2.0	prompt4	0.15	0.8849140405654907	2.0	prompt4	0.15	69.78557641800109	2.0	prompt4	0.15	0.9127894043922424
19	2.0	prompt1	0.3	1.0	2.0	prompt1	0.3	100.0	2.0	prompt1	0.3	0.9943715929985046
20	2.0	prompt0	0.15	0.8406816124916077	2.0	prompt1	0.6	58.22544286906166	4.0	prompt0	0.6	0.7766527533531189
21	2.0	prompt4	0.15	0.8719181418418884	2.0	prompt3	0.6	53.43640086716736	5.0	prompt1	0.75	0.7664620280265808
22	2.0	prompt3	0.3	0.9626941680908204	2.0	prompt1	0.3	88.26166534904476	1.0	prompt0	0.45	0.9485692977905273
